S&P500,NASDAQ,Ibovespa,DAX30
3145.320068359375,10343.8896484375,97761.0,12616.7998046875
3169.93994140625,10492.5,99770.0,12494.8095703125
3152.050048828125,10547.75,99160.0,12489.4599609375
3185.0400390625,10617.4404296875,100032.0,12633.7099609375
3155.219970703125,10390.83984375,98697.0,12799.9697265625
3197.52001953125,10488.580078125,100440.0,12697.3603515625
3226.56005859375,10550.490234375,101791.0,12930.98046875
3215.570068359375,10473.830078125,100553.0,12874.9697265625
3224.72998046875,10503.1904296875,102888.0,12919.6103515625
3251.840087890625,10767.08984375,104426.0,13046.919921875
3257.300048828125,10680.3603515625,104310.0,13171.830078125
3276.02001953125,10706.1298828125,104290.0,13104.25
3235.659912109375,10461.419921875,102293.0,13103.3896484375
3215.6298828125,10363.1796875,102382.0,12838.0595703125
3239.409912109375,10536.26953125,104477.0,12838.66015625
3218.43994140625,10402.08984375,104109.0,12835.2802734375
3258.43994140625,10542.9404296875,105605.0,12822.259765625
3246.219970703125,10587.8095703125,105009.0,12379.650390625
3271.1201171875,10745.26953125,102912.0,12313.3603515625
3294.610107421875,10902.7998046875,102830.0,12646.98046875
3306.510009765625,10941.169921875,101216.0,12600.8701171875
3327.77001953125,10998.400390625,102802.0,12660.25
3349.159912109375,11108.0703125,104126.0,12591.6796875
3351.280029296875,11010.98046875,102776.0,12674.8798828125
3360.469970703125,10968.3603515625,103444.0,12687.5302734375
3333.68994140625,10782.8203125,102174.0,12946.8896484375
3380.35009765625,11012.240234375,102118.0,13058.6298828125
3373.429931640625,11042.5,100461.0,12993.7099609375
3372.85009765625,11019.2998046875,101353.0,12901.33984375
3381.989990234375,11129.73046875,99595.0,12920.66015625
3389.780029296875,11210.83984375,102065.0,12881.759765625
3374.85009765625,11146.4599609375,100854.0,12977.330078125
3385.510009765625,11264.9501953125,101468.0,12830.0
3397.159912109375,11311.7998046875,101521.0,12764.7998046875
3431.280029296875,11379.7197265625,102298.0,13066.5400390625
3443.6201171875,11466.4697265625,102118.0,13061.6201171875
3478.72998046875,11665.0595703125,100627.0,13190.150390625
3484.550048828125,11625.33984375,100624.0,13096.3603515625
3508.010009765625,11695.6298828125,102143.0,13033.2001953125
3500.31005859375,11775.4599609375,99369.0,12945.3798828125
