btc,nano,bnb,waves,eos
11744.91,1.0171,23.2728,1.6475,3.0545
11762.46,1.0371,22.7487,1.711,3.089
11594.23,1.0199,22.3323,1.786,3.0104
11761.41,1.0429,22.9234,1.8258,3.0649
11681.68,1.0552,22.422,1.9479,3.0272
11892.92,1.1962,22.6369,1.9747,3.2365
11392.08,1.092,21.2902,1.8648,3.0048
11564.33,1.122,21.4919,2.1706,3.0253
11780.0,1.1511,21.7667,3.3267,3.1365
11760.54,1.1498,23.1047,3.4914,3.2606
11852.4,1.1121,23.0881,3.3895,3.7228
11911.0,1.1629,23.529,4.0341,3.88
12281.13,1.2354,23.4961,4.4095,3.7762
11945.01,1.3067,22.9705,4.1839,3.5744
11754.59,1.1784,22.3761,3.8151,3.3487
11853.55,1.2391,23.0888,3.8557,3.4429
11531.34,1.19,22.0988,3.2014,3.2528
11662.96,1.3813,22.2044,3.3831,3.362
11648.13,1.3054,21.8555,3.499,3.3212
11748.2,1.2918,22.5953,3.6478,3.3854
11318.42,1.1912,21.3882,3.227,3.1206
11461.43,1.2215,22.1999,3.2575,3.1179
11330.38,1.1481,23.1127,3.0972,2.979
11526.91,1.1666,23.0811,3.3697,3.1159
11465.84,1.16,22.9398,3.37,3.126
11711.16,1.1714,23.6208,3.3786,3.2614
11649.51,1.1371,23.1477,3.5954,3.2081
11921.97,1.124,24.7028,3.5345,3.4724
11388.54,1.0551,24.7652,3.2748,3.1016
10140.85,0.816,20.3592,2.4758,2.6133
10446.25,0.8801,20.9712,2.6204,2.9948
10166.69,0.8128,19.4698,2.3133,2.9387
10256.2,0.8398,23.142,2.471,2.9024
10373.44,0.8527,22.4426,2.3998,2.852
10126.65,0.8184,23.2837,2.32,2.7622
10219.2,0.8365,24.4716,2.3971,2.7514
10336.87,0.8681,24.5489,2.4337,2.7767
10387.89,0.889,25.399,2.5,2.7846
10440.92,0.9386,28.505,2.6119,2.8052
10332.83,0.8754,31.1656,3.0776,2.7249
10671.77,0.8876,31.2523,2.8853,2.7317
10785.31,0.8657,27.1181,2.4875,2.7034
10954.01,0.8626,27.8695,2.5589,2.713
10939.99,0.86,27.095,2.5523,2.7375
10933.39,0.838,27.629,2.4474,2.6905
11080.65,0.8417,27.2035,2.5426,2.7031
10920.28,0.796,26.316,2.4389,2.6715
10417.22,0.725,23.1232,2.1531,2.5051
10529.61,0.7507,24.0468,2.2183,2.5718
10241.46,0.6773,22.8331,2.1718,2.4423
10736.32,0.7486,24.5745,2.3686,2.5337
10686.67,0.7668,24.6924,2.3894,2.5445
10728.6,0.8286,26.1998,2.5148,2.5655
10774.25,0.8271,26.251,2.4835,2.5897
10696.12,0.8168,26.9855,2.4173,2.5626
10840.48,0.8169,28.8946,2.4515,2.5995
10776.59,0.827,29.2656,2.5734,2.5777
10619.13,0.815,27.4673,2.624,2.5446
10570.4,0.7839,27.3369,2.452,2.4787
10542.06,0.7711,28.1867,2.42,2.4786
10666.63,0.769,28.9668,2.3699,2.5176
10792.21,0.7648,28.6158,2.3597,2.5257
10599.66,0.7222,27.6812,2.1724,2.6959
10666.39,0.7182,27.6898,2.2845,2.6436
10925.57,0.7406,27.7424,2.3109,2.6066
11050.64,0.8215,28.4076,2.3927,2.6406
11293.22,0.8203,28.4414,2.4244,2.6415
11369.02,0.8256,28.5271,2.4477,2.6576
11528.25,0.826,30.6503,2.4622,2.6428
11420.56,0.8133,30.7256,2.5167,2.6383
11417.89,0.7987,30.838,2.5097,2.6065
11505.12,0.805,31.3256,2.697,2.5985
11319.32,0.8006,30.0516,2.9557,2.5362
11360.2,0.8069,30.2414,3.1854,2.5217
11503.14,0.8177,30.6593,3.0567,2.5459
11751.47,0.8381,29.9107,2.9373,2.5819
11909.99,0.8802,28.8227,2.8678,2.5264
12780.96,0.893,29.7329,3.1111,2.6055
12968.52,0.8889,30.6396,3.2438,2.6693
12923.07,0.8616,30.6377,3.3709,2.6395
13111.73,0.8661,30.6639,3.4382,2.6597
13028.83,0.8432,30.128,3.2784,2.7074
13052.19,0.8447,31.0467,3.1694,2.6291
13636.17,0.8098,31.4826,3.1569,2.6739
13266.4,0.7625,30.3338,3.0504,2.6524
13455.7,0.7736,29.8702,3.0232,2.6387
13560.1,0.7327,28.4909,3.2101,2.5068
13791.0,0.7455,28.5058,3.2329,2.528
13761.5,0.7423,28.5318,3.2231,2.5185
